admin_unit_code_x,plot_name_x,location_type,year_x,date_x,start_time_x,end_time_x,observer_x,visit_x,interval_length,id_method,distance_x,flyover_observed_x,sex,common_name_x,scientific_name,acceptedtsn,taxoncode,aou_code_x,pif_watchlist_status_x,regional_stewardship_status_x,temperature_x,humidity_x,sky_x,wind_x,disturbance_x,previously_obs,initial_three_min_cnt_x,admin_unit_code_y,site_name,plot_name_y,location_type_y,year_y,date,start_time_y,end_time_y,observer_y,visit_y,interval_length_y,id_method_y,distance_y,flyover_observed_y,sex_y,common_name_y,scientific_name_y,npstaxoncode,aou_code_y,pif_watchlist_status_y,regional_stewardship_status_y,temperature_y,humidity_y,sky_y,wind_y,disturbance_y,initial_three_min_cnt_y
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0082,Forest,2018,5/22/2018 0:00,6:02:00,6:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0078,Forest,2018,5/22/2018 0:00,7:21:00,7:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0190,Forest,2018,5/24/2018 0:00,8:34:00,8:44:00,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,27.29999924,52.90000153,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0190,Forest,2018,5/24/2018 0:00,8:34:00,8:44:00,Brian Swimelar,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,27.29999924,52.90000153,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0194,Forest,2018,5/24/2018 0:00,7:22:00,7:32:00,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,23.79999924,57.90000153,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0036,Forest,2018,6/25/2018 0:00,8:17:00,8:27:00,Kimberly Serno,2,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,22.39999962,78.80000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0190,Forest,2018,6/26/2018 0:00,8:14:00,8:24:00,Elizabeth Oswald,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,21.29999924,69.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0200,Forest,2018,6/26/2018 0:00,7:27:00,7:37:00,Elizabeth Oswald,2,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,15.5,89.80000305,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0078,Forest,2018,6/26/2018 0:00,8:00:00,8:10:00,Brian Swimelar,2,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,84781,CHSP,FALSE,FALSE,24.29999924,52.40000153,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,ANTI,ANTI 1,ANTI-0082,Forest,2018,5/22/2018 0:00,6:02:00,6:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,ANTI,ANTI 1,ANTI-0025,Forest,2018,5/23/2018 0:00,8:28:00,8:38:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,ANTI,ANTI 1,ANTI-0072,Forest,2018,5/23/2018 0:00,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,ANTI,ANTI 1,ANTI-0036,Forest,2018,6/25/2018 0:00,8:17:00,8:27:00,Kimberly Serno,2,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,22.39999962,78.80000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,FALSE,ANTI,ANTI 2,ANTI-0190,Forest,2018,6/26/2018 0:00,8:14:00,8:24:00,Elizabeth Oswald,2,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,21.29999924,69.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Grasshopper Sparrow,Ammodramus savannarum,179333,83867,GRSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0190,Forest,2018,5/24/2018 0:00,8:34:00,8:44:00,Brian Swimelar,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Grasshopper Sparrow,Ammodramus savannarum,83867,GRSP,FALSE,FALSE,27.29999924,52.90000153,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Grasshopper Sparrow,Ammodramus savannarum,179333,83867,GRSP,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0190,Forest,2018,6/26/2018 0:00,8:14:00,8:24:00,Elizabeth Oswald,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Grasshopper Sparrow,Ammodramus savannarum,83867,GRSP,FALSE,FALSE,21.29999924,69.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0082,Forest,2018,5/22/2018 0:00,6:02:00,6:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,20.79999924,72.19999695,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0025,Forest,2018,5/23/2018 0:00,8:28:00,8:38:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0072,Forest,2018,5/23/2018 0:00,10:01:00,10:11:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,26.10000038,61.20000076,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0036,Forest,2018,6/25/2018 0:00,8:17:00,8:27:00,Kimberly Serno,2,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,22.39999962,78.80000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 2,ANTI-0190,Forest,2018,6/26/2018 0:00,8:14:00,8:24:00,Elizabeth Oswald,2,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,,Eastern Bluebird,Sialia sialis,87184,EABL,FALSE,FALSE,21.29999924,69.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0036,Forest,2018,5/22/2018 0:00,6:19:00,6:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0036,Forest,2018,5/22/2018 0:00,6:19:00,6:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,19.89999962,79.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0078,Forest,2018,5/22/2018 0:00,7:21:00,7:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0078,Forest,2018,5/22/2018 0:00,7:21:00,7:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0078,Forest,2018,5/22/2018 0:00,7:21:00,7:31:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,21.70000076,75.80000305,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0025,Forest,2018,5/23/2018 0:00,8:28:00,8:38:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI,ANTI-0054,Grassland,2018,5/22/2018 0:00,5:35:00,5:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20,79,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,FALSE,TRUE,ANTI,ANTI 1,ANTI-0052,Forest,2018,5/23/2018 0:00,9:26:00,9:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,84790,FISP,FALSE,TRUE,27.5,62.90000153,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
